asin,url,price,timestamp
B0G3WHQ8MX,https://www.amazon.com/dp/B0G3WHQ8MX/?th=1&psc=1,9.99,2026-04-09T08:38:16.950321
B0FPCNKT9X,https://www.amazon.com/dp/B0FPCNKT9X/?th=1&psc=1,37.99,2026-04-09T09:05:19.306315
B0GJ5GCZMC,https://www.amazon.com/dp/B0GJ5GCZMC/?th=1&psc=1,29.99,2026-04-09T09:05:29.796753
B0FCMM85GN,https://www.amazon.com/dp/B0FCMM85GN/?th=1&psc=1,50.99,2026-04-09T09:05:38.122916
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,8.99,2026-04-09T09:05:48.182738
B07NV4JGTG,https://www.amazon.com/dp/B07NV4JGTG/?th=1&psc=1,5.49,2026-04-09T09:05:57.436101
B0FCMM85GN,https://www.amazon.com/dp/B0FCMM85GN/?th=1&psc=1,50.99,2026-04-09T09:06:05.435780
B0CT2N8L5F,https://www.amazon.com/dp/B0CT2N8L5F/?th=1&psc=1,66.99,2026-04-09T09:06:14.711870
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,44.99,2026-04-09T09:06:24.555710
B0FCMM85GN,https://www.amazon.com/dp/B0FCMM85GN/?th=1&psc=1,50.99,2026-04-09T09:32:36.601731
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,44.99,2026-04-09T09:34:25.209944
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,27.15,2026-04-09T09:34:33.146088
B0GJ5GCZMC,https://www.amazon.com/dp/B0GJ5GCZMC/?th=1&psc=1,29.99,2026-04-09T09:34:42.953752
B0CT2N8L5F,https://www.amazon.com/dp/B0CT2N8L5F/?th=1&psc=1,66.99,2026-04-09T09:34:52.403461
B0FPCNKT9X,https://www.amazon.com/dp/B0FPCNKT9X/?th=1&psc=1,48.33,2026-04-09T09:35:53.504557
B0FCMM85GN,https://www.amazon.com/dp/B0FCMM85GN/?th=1&psc=1,64.87,2026-04-09T09:36:02.451272
B0GJ5GCZMC,https://www.amazon.com/dp/B0GJ5GCZMC/?th=1&psc=1,38.16,2026-04-09T09:36:10.660468
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,57.24,2026-04-09T09:36:18.712620
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,27.15,2026-04-09T09:36:28.885819
B0CT2N8L5F,https://www.amazon.com/dp/B0CT2N8L5F/?th=1&psc=1,85.23,2026-04-09T09:37:13.026759
B0CT2N8L5F,https://www.amazon.com/dp/B0CT2N8L5F/?th=1&psc=1,85.23,2026-04-09T09:39:23.834657
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,27.15,2026-04-09T09:39:33.569382
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,57.24,2026-04-09T09:39:43.239528
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,57.24,2026-04-09T09:41:18.343857
B0CT2N8L5F,https://www.amazon.com/dp/B0CT2N8L5F/?th=1&psc=1,85.23,2026-04-09T09:42:09.006512
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,27.15,2026-04-09T09:42:16.978963
B0FCMMFNQC,https://www.amazon.com/dp/B0FCMMFNQC/?th=1&psc=1,80.14,2026-04-09T09:42:25.695965
B0FPCNKT9X,https://www.amazon.com/dp/B0FPCNKT9X/?th=1&psc=1,48.33,2026-04-09T09:42:33.773622
B0GJ5GCZMC,https://www.amazon.com/dp/B0GJ5GCZMC/?th=1&psc=1,38.16,2026-04-09T09:42:42.340140
B0CT2N8L5F,https://www.amazon.com/dp/B0CT2N8L5F/?th=1&psc=1,85.23,2026-04-09T09:48:10.955189
B0GJ5GCZMC,https://www.amazon.com/dp/B0GJ5GCZMC/?th=1&psc=1,38.16,2026-04-09T09:48:23.108473
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,27.15,2026-04-09T09:48:35.535637
B0FPCNKT9X,https://www.amazon.com/dp/B0FPCNKT9X/?th=1&psc=1,48.33,2026-04-09T09:48:47.344793
B0FCMM85GN,https://www.amazon.com/dp/B0FCMM85GN/?th=1&psc=1,64.87,2026-04-09T09:49:00.531472
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,57.24,2026-04-09T09:49:13.287289
B07NV4JGTG,https://www.amazon.com/dp/B07NV4JGTG/?th=1&psc=1,6.98,2026-04-09T09:49:24.937427
B0CT2N8L5F,https://www.amazon.com/dp/B0CT2N8L5F/?th=1&psc=1,85.23,2026-04-09T09:54:39.322997
B0FPCNKT9X,https://www.amazon.com/dp/B0FPCNKT9X/?th=1&psc=1,48.33,2026-04-09T09:54:51.132686
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,27.15,2026-04-09T09:55:49.980373
B0GJ5GCZMC,https://www.amazon.com/dp/B0GJ5GCZMC/?th=1&psc=1,38.16,2026-04-09T09:56:01.442085
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,57.24,2026-04-09T09:56:13.471726
B0FCMM85GN,https://www.amazon.com/dp/B0FCMM85GN/?th=1&psc=1,64.87,2026-04-09T09:56:26.561263
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,57.24,2026-04-09T10:00:00.221059
B0FPCNKT9X,https://www.amazon.com/dp/B0FPCNKT9X/?th=1&psc=1,48.33,2026-04-09T10:00:10.344141
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,27.15,2026-04-09T10:03:13.137664
B074TDRF5B,https://www.amazon.com/dp/B074TDRF5B/?th=1&psc=1,11.44,2026-04-09T10:08:35.734460
B0GJ5GCZMC,https://www.amazon.com/dp/B0GJ5GCZMC/?th=1&psc=1,38.16,2026-04-09T10:08:46.788694
B0CT2N8L5F,https://www.amazon.com/dp/B0CT2N8L5F/?th=1&psc=1,85.23,2026-04-09T10:08:58.613992
B07Z8ZBXPH,https://www.amazon.com/dp/B07Z8ZBXPH/?th=1&psc=1,57.24,2026-04-09T10:09:11.418333
B0FPCNKT9X,https://www.amazon.com/dp/B0FPCNKT9X/?th=1&psc=1,48.33,2026-04-09T10:09:24.804304
B0FCMM85GN,https://www.amazon.com/dp/B0FCMM85GN/?th=1&psc=1,64.87,2026-04-09T10:10:25.149021
B0FCMM85GN,https://www.amazon.com/dp/B0FCMM85GN/?th=1&psc=1,64.87,2026-04-09T10:10:36.416703
B074TDRF5B,https://www.amazon.com/Women-Thigh-Socks-Warmer-Stockings/dp/B074TDRF5B/ref=sr_1_14?crid=193JX6Y4709MN&dib=eyJ2IjoiMSJ9.fTsQ0ZrE5hMdjieKIFfBpb2-i_z65McDGBfCz0vigpWx0_nMZLUG4uoXjzroxkRH9GDEyfWkrJu8stbDJVS7R_2EapW_LzrTe8_0ZadHzjw0vg9KbvrBURaoojT46qxzroqXMr3VoHO2FfNYij0Q-4KmocSG7p-0WZkeSFbbL9cW8Ub710fP_Yv-ArYq89mfnkG6NRyAWUReg5TFEru3TmfVxHqjqKghiwK8PFLLzavegDMrBkOoVbHeR-HihAMiI05KzQb9QRkMvDxz0-wTnrx0QNsEPP2Cb3PWSOmHXhw.6g1I3Qy2u-BVefGXKjbupji7IWfutM_uVn7Ko6wU1jI&dib_tag=se&keywords=cosplay&qid=1775725306&sprefix=cospla%2Caps%2C260&sr=8-14&th=1&psc=1,27.15,2026-04-09T10:15:21.982633
B07Z8ZBXPH,https://www.amazon.com/Cosplay-fm-Cosplay-Printed-Bodysuit-Costume/dp/B07Z8ZBXPH/ref=sr_1_34?crid=193JX6Y4709MN&dib=eyJ2IjoiMSJ9.fTsQ0ZrE5hMdjieKIFfBpb2-i_z65McDGBfCz0vigpWx0_nMZLUG4uoXjzroxkRH9GDEyfWkrJu8stbDJVS7R_2EapW_LzrTe8_0ZadHzjw0vg9KbvrBURaoojT46qxzroqXMr3VoHO2FfNYij0Q-4KmocSG7p-0WZkeSFbbL9cW8Ub710fP_Yv-ArYq89mfnkG6NRyAWUReg5TFEru3TmfVxHqjqKghiwK8PFLLzavegDMrBkOoVbHeR-HihAMiI05KzQb9QRkMvDxz0-wTnrx0QNsEPP2Cb3PWSOmHXhw.6g1I3Qy2u-BVefGXKjbupji7IWfutM_uVn7Ko6wU1jI&dib_tag=se&keywords=cosplay&qid=1775725306&sprefix=cospla%2Caps%2C260&sr=8-34&th=1&psc=1,44.99,2026-04-09T10:16:07.797101
